"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
1 0,820888243 0,864518851 0,89872663 0,890734448 0,910793906 0,916101931 0,929467036 0,922827073 0,923257052 0,934557605 0,931493951 0,928397165 0,933364787 0,939825786 0,938555945 0,941764263 0,939368594 0,941822252 0,938595214 0,943352706 0,942849793 0,946385185 0,944952114 0,949595621 0,94723387 0,948760202 0,948483641 0,950311003 0,952163289 0,946309415 0,953883642 0,950741437 0,951374 0,950096302 0,957093432 0,951893552 0,955685381 0,955304668 0,955492447 0,957537462 0,960812826 0,95414419 0,954423812 0,958608695 0,959707536 0,954235546 0,955364041 0,952277957 0,962149378 0,959726179
3 0,815338206 0,862963246 0,900970107 0,890475332 0,91522627 0,917465443 0,930477523 0,925621777 0,927697655 0,936738893 0,935172978 0,931463345 0,934431771 0,942402026 0,943435389 0,944135622 0,941675717 0,944385653 0,941446923 0,946544806 0,946563733 0,949293237 0,947450265 0,952350209 0,951172455 0,950421793 0,952349874 0,95147795 0,954368213 0,948135082 0,956866802 0,952050395 0,955669426 0,953922549 0,957315551 0,959579383 0,959630016 0,95943778 0,95987056 0,962313756 0,963038642 0,956997879 0,958451243 0,964500544 0,962823955 0,958919468 0,960560932 0,953454369 0,962739875 0,962416428
5 0,816911224 0,863827035 0,901259602 0,89128183 0,916488604 0,918133399 0,930758704 0,926103047 0,929798183 0,935596018 0,934553158 0,931091738 0,935098235 0,94278912 0,942413437 0,944900642 0,943850389 0,944711658 0,941624438 0,947446866 0,946306443 0,949961748 0,94724715 0,9514563 0,951449411 0,949671873 0,949883506 0,952883676 0,953036418 0,949515356 0,957055715 0,952931095 0,956177435 0,954680316 0,958662226 0,958741863 0,959468732 0,960706785 0,961842361 0,964641045 0,962650834 0,956889495 0,958599108 0,963245863 0,964165136 0,959505119 0,960972718 0,952604703 0,959729968 0,955044224
7 0,813349681 0,860147043 0,900404258 0,88860764 0,914905544 0,91752303 0,928847397 0,924822216 0,928181993 0,934321545 0,932977057 0,92925941 0,93337032 0,94268702 0,940939543 0,943818321 0,94233576 0,944661769 0,939985699 0,946817735 0,946084399 0,949456844 0,946070413 0,950240535 0,951468731 0,948356779 0,949232352 0,950816643 0,952719361 0,949783309 0,954934022 0,951315302 0,953229127 0,953570904 0,958853973 0,956845442 0,957507047 0,959223983 0,960751357 0,963312269 0,961424312 0,95355546 0,958293054 0,960239263 0,961024742 0,958559714 0,961562222 0,954657464 0,961429704 0,959232911
9 0,807765923 0,855574672 0,896779747 0,885981562 0,912913487 0,915378486 0,927252444 0,923654347 0,926035483 0,933160586 0,930221031 0,926848855 0,930948347 0,941521607 0,939167051 0,942280133 0,941029434 0,943007786 0,939529616 0,9454648 0,94400622 0,947030623 0,944753012 0,950030839 0,949312587 0,947263198 0,947368935 0,950822639 0,951533521 0,948344189 0,954505045 0,949472538 0,951073792 0,953483863 0,956988532 0,954855066 0,955951873 0,957437757 0,958280276 0,961841576 0,958216358 0,955137864 0,956501104 0,958610471 0,95988101 0,9577947 0,95856566 0,95320944 0,959347215 0,958645057
11 0,801564237 0,852430832 0,894771709 0,883486274 0,909665341 0,914067904 0,925688711 0,921227236 0,92462191 0,931238991 0,927930856 0,925545105 0,928766584 0,938016864 0,938476498 0,941142202 0,938730903 0,942022619 0,937148624 0,943477915 0,942474249 0,945588396 0,943082661 0,947179664 0,948114453 0,946761795 0,945651121 0,948144953 0,950002007 0,946264255 0,952843691 0,947875824 0,949089838 0,949567515 0,955130878 0,954591231 0,954922768 0,956539265 0,956615576 0,959060482 0,957476584 0,952609914 0,95594481 0,960688579 0,957876918 0,955401423 0,958064607 0,954864754 0,95977331 0,958684676
13 0,79772942 0,847719751 0,891412007 0,880570242 0,907636465 0,911277458 0,922868474 0,91872548 0,92346293 0,930418755 0,926365457 0,922817404 0,927649714 0,936284675 0,937320008 0,938644443 0,936979685 0,939624236 0,93510774 0,94133673 0,940840907 0,945027502 0,941852924 0,945498317 0,946333447 0,945045474 0,944067002 0,946944569 0,94893662 0,944647129 0,950641323 0,948088544 0,949468367 0,949282559 0,953999273 0,952337179 0,953721548 0,955861938 0,955587746 0,958263629 0,956164319 0,951627186 0,955304407 0,96090461 0,956282052 0,954427488 0,955621545 0,952799141 0,959840572 0,961147194
15 0,791593508 0,844021642 0,890137551 0,878032219 0,904990718 0,909637609 0,920193601 0,91791491 0,922026277 0,928181653 0,925446037 0,921203957 0,925338265 0,935210522 0,934222882 0,936631195 0,935831027 0,938033395 0,933061734 0,940617924 0,938862315 0,943632058 0,940029069 0,943802032 0,94569003 0,943555373 0,94283183 0,945980962 0,946706689 0,942955998 0,95022128 0,947044453 0,948312365 0,947280421 0,953019158 0,951278677 0,95308345 0,954994374 0,953651261 0,956901626 0,954961917 0,951605743 0,956181682 0,957853018 0,955088446 0,951635983 0,957134639 0,950226488 0,958273491 0,961147194
17 0,787726419 0,84108154 0,885635029 0,874855005 0,903849054 0,907981075 0,917886363 0,915358112 0,920012241 0,926844235 0,924297407 0,919165184 0,923603618 0,932824222 0,933054669 0,935543585 0,934495718 0,93670458 0,9315694 0,939218576 0,937030346 0,941919313 0,938812497 0,943298238 0,944671624 0,941962371 0,942468419 0,944871431 0,946133814 0,942366948 0,949913533 0,945797877 0,946641309 0,946615594 0,951571042 0,950197141 0,951299795 0,953211763 0,951637886 0,955685529 0,952604213 0,950032415 0,954118543 0,957724146 0,955460049 0,951583261 0,954677002 0,951479768 0,955149444 0,963536857
19 0,782910765 0,838092107 0,884744033 0,871698014 0,902074479 0,907222293 0,916818131 0,912926552 0,918035642 0,925246265 0,922573462 0,91760469 0,921431596 0,93204276 0,930923949 0,934879133 0,932975682 0,935279081 0,929857799 0,938102826 0,935268127 0,94033352 0,937608998 0,941872361 0,943781294 0,940282885 0,94120418 0,943969637 0,945061076 0,941200903 0,949286442 0,944640163 0,945555229 0,944901933 0,951315895 0,949181318 0,950467987 0,952862403 0,950476807 0,954525225 0,952147222 0,948575897 0,950921606 0,95584728 0,95482907 0,950168938 0,952471346 0,951404491 0,956171342 0,963536857
21 0,778036487 0,835129762 0,88165835 0,869781851 0,900311162 0,905630644 0,915917371 0,910841389 0,916576881 0,924163517 0,920886068 0,916069494 0,920104884 0,930591031 0,929658171 0,933371938 0,931804111 0,934698105 0,929168229 0,936901354 0,934776509 0,939605174 0,936535032 0,94060262 0,942606156 0,938781299 0,939368379 0,942324543 0,943809246 0,940522488 0,948872437 0,943041706 0,944742668 0,943229746 0,949538989 0,948861732 0,949924214 0,950552494 0,950389054 0,952015862 0,951556503 0,946010351 0,950403239 0,954937322 0,954799929 0,949984758 0,95049622 0,947691158 0,954544217 0,964557011
23 0,774829053 0,831972518 0,879315229 0,86676738 0,898674431 0,903234746 0,913633371 0,909614022 0,914323139 0,922965666 0,920231461 0,914683422 0,919637853 0,928672968 0,928040549 0,93160262 0,930152528 0,933569964 0,927464253 0,935721591 0,933441468 0,938663459 0,936092451 0,939061187 0,940715623 0,93825713 0,939261396 0,941427876 0,943304727 0,940452648 0,947666634 0,941856571 0,943523671 0,942482084 0,949287682 0,947190559 0,948926983 0,949416566 0,948887476 0,951749405 0,950882059 0,94517342 0,949151406 0,953463076 0,953628229 0,94986142 0,9493741 0,945585265 0,955242781 0,963523947
25 0,770499007 0,829272409 0,876481814 0,8641888 0,896254969 0,902429309 0,911670491 0,907928134 0,913716216 0,9214998 0,919276722 0,914065246 0,91758662 0,927684178 0,926968501 0,930567438 0,928961319 0,932604965 0,925836082 0,934411539 0,931382751 0,936695853 0,935452511 0,938029755 0,939695593 0,937451716 0,938517069 0,940532722 0,94178598 0,938231493 0,946117618 0,940575366 0,942307445 0,941933407 0,949019966 0,946427029 0,947779233 0,948193135 0,947195117 0,950379269 0,950023254 0,944316916 0,950001214 0,952447143 0,952546021 0,94726449 0,94899966 0,944495526 0,955469494 0,958431875
27 0,766865928 0,826495732 0,873878622 0,861715295 0,893601165 0,900413433 0,910588693 0,906078026 0,911821137 0,91984964 0,917493836 0,91320867 0,91650439 0,926178887 0,925702738 0,929369986 0,927396687 0,931325377 0,924957966 0,93319748 0,930548773 0,936675407 0,933595701 0,936596912 0,938021288 0,936523348 0,936817451 0,93902892 0,940021044 0,937240648 0,945071828 0,939461083 0,942121114 0,941443171 0,946935754 0,945948889 0,947652869 0,947528654 0,946701806 0,950011005 0,949629531 0,944639314 0,948581104 0,951476913 0,950984166 0,947013818 0,948354572 0,945411198 0,950501377 0,961096569
29 0,765247662 0,823602183 0,871168999 0,859834102 0,891807179 0,898750738 0,909066028 0,90512176 0,911722324 0,918501242 0,91631617 0,911603103 0,915049154 0,924611485 0,924411686 0,927526601 0,925841462 0,929930653 0,924980631 0,931838377 0,929991355 0,935773949 0,932655414 0,935960926 0,93789785 0,93519175 0,936150942 0,93832255 0,939191388 0,935978677 0,943679557 0,938541096 0,940489627 0,93992609 0,94609791 0,945875343 0,946880844 0,947553715 0,946323958 0,950010867 0,948403748 0,944100098 0,948159063 0,950098249 0,950328975 0,945741471 0,948159052 0,943556277 0,952215275 0,961622738
