"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
1 0,817484367 0,863917526 0,898546366 0,890296979 0,911355311 0,916559658 0,929830323 0,923333333 0,923666093 0,934979424 0,931826401 0,928756957 0,933555556 0,940182648 0,938866533 0,941925466 0,939836532 0,942090033 0,93904006 0,943715847 0,943139629 0,946449457 0,945324675 0,949820305 0,947572362 0,949222546 0,948885512 0,950634921 0,952549693 0,946806039 0,954090354 0,951222651 0,951632653 0,95021645 0,957453345 0,952216749 0,955996473 0,955714286 0,956004141 0,958049887 0,961278195 0,954481793 0,955238095 0,959157509 0,96017316 0,954761905 0,956122449 0,952380952 0,962698413 0,95952381
3 0,813852814 0,864064801 0,90085213 0,890706605 0,915881737 0,91800428 0,930842912 0,926078431 0,92788296 0,937037037 0,93562387 0,931818182 0,934666667 0,942791911 0,943661972 0,944409938 0,942110874 0,944617413 0,941874528 0,946838407 0,946811945 0,949415205 0,947662338 0,9524708 0,95130719 0,950728863 0,952634245 0,951640212 0,954598306 0,9485482 0,957081807 0,952316602 0,955918367 0,953968254 0,957606943 0,959770115 0,95978836 0,959904762 0,960144928 0,962585034 0,963533835 0,957563025 0,959047619 0,965018315 0,963203463 0,95952381 0,960884354 0,954285714 0,963492063 0,961904762
5 0,814069264 0,863917526 0,901027569 0,890988223 0,917006803 0,918539326 0,931007115 0,926610644 0,93006311 0,935920047 0,934870404 0,931478046 0,935301587 0,943118069 0,942723005 0,945203589 0,94424307 0,9449837 0,941987906 0,947775176 0,946448749 0,950167084 0,947662338 0,951572327 0,951633987 0,950048591 0,950202634 0,953068783 0,953380212 0,949941928 0,957264957 0,953153153 0,956394558 0,954834055 0,958989325 0,958866995 0,959700176 0,961047619 0,962008282 0,964965986 0,963157895 0,957422969 0,959047619 0,963736264 0,964502165 0,96005291 0,96122449 0,953333333 0,96031746 0,954761905
7 0,808104858 0,859572901 0,89952381 0,88781362 0,915201465 0,917710005 0,929064039 0,925210084 0,928284567 0,934450323 0,933212779 0,929560915 0,933333333 0,942987606 0,941113347 0,944030366 0,94267946 0,944800557 0,940287226 0,946955504 0,946085553 0,949540518 0,946363636 0,950224618 0,951633987 0,948688047 0,949493414 0,951005291 0,953048004 0,950174216 0,955067155 0,951480051 0,953469388 0,953751804 0,959142923 0,956978654 0,957760141 0,959619048 0,960869565 0,963378685 0,961904762 0,953921569 0,958730159 0,960805861 0,961471861 0,958994709 0,96122449 0,954761905 0,961904762 0,95952381
9 0,801154401 0,854344624 0,89566416 0,884664619 0,912951334 0,91540931 0,9272578 0,92394958 0,926018359 0,933156966 0,930379747 0,927056277 0,930857143 0,941748206 0,939235412 0,942339545 0,941257996 0,943079008 0,939720333 0,945550351 0,943946731 0,947076023 0,945021645 0,949955076 0,949439776 0,947570457 0,947568389 0,950899471 0,951774542 0,948780488 0,954578755 0,94967825 0,951292517 0,953607504 0,957222948 0,95500821 0,95617284 0,957809524 0,958385093 0,962018141 0,958646617 0,955462185 0,956984127 0,959157509 0,96038961 0,958201058 0,958163265 0,953809524 0,96031746 0,95952381
11 0,793193843 0,850270005 0,893408521 0,881848438 0,909576138 0,914018192 0,925561029 0,921344538 0,92444062 0,931216931 0,927998794 0,92563389 0,928539683 0,938258317 0,938497653 0,941166322 0,938948117 0,942053405 0,937301587 0,943520687 0,942332526 0,945530493 0,943333333 0,946945193 0,948225957 0,947035957 0,945845998 0,948148148 0,95022424 0,946631823 0,952869353 0,948069498 0,949251701 0,9497114 0,955379771 0,954761905 0,955114638 0,956857143 0,956728778 0,959183673 0,957894737 0,952941176 0,956349206 0,961172161 0,958225108 0,955820106 0,957823129 0,955238095 0,96031746 0,95952381
13 0,787902838 0,844820815 0,889899749 0,878136201 0,9074045 0,911075441 0,922632731 0,918795518 0,923092369 0,930276308 0,926220615 0,922727273 0,927301587 0,936464449 0,93722334 0,938612836 0,937206823 0,939599282 0,935260771 0,941334895 0,940597256 0,945071011 0,942077922 0,945148248 0,946405229 0,945238095 0,944224924 0,946931217 0,949116882 0,944889663 0,950671551 0,948262548 0,949591837 0,949422799 0,954227786 0,952545156 0,953880071 0,956190476 0,955693582 0,958390023 0,956516291 0,951820728 0,955555556 0,961355311 0,956493506 0,954761905 0,955102041 0,953333333 0,96031746 0,961904762
15 0,78013468 0,840893471 0,888095238 0,875524834 0,904604919 0,909309791 0,919813903 0,917843137 0,921572002 0,927865961 0,925256178 0,921150278 0,924920635 0,935192433 0,934138162 0,93657695 0,936034115 0,93798762 0,933219955 0,940554254 0,938498789 0,943609023 0,94021645 0,943396226 0,945704949 0,943731778 0,942907801 0,945925926 0,946846797 0,943205575 0,95018315 0,947168597 0,948503401 0,947330447 0,953229399 0,951313629 0,953262787 0,955333333 0,953726708 0,9569161 0,955263158 0,951820728 0,956507937 0,958424908 0,955411255 0,951851852 0,956802721 0,950952381 0,958730159 0,961904762
17 0,774122174 0,837015218 0,883408521 0,871966206 0,90321821 0,90765115 0,917405583 0,915294118 0,919420539 0,926396238 0,924050633 0,918985776 0,923079365 0,932746249 0,932964453 0,935438233 0,934612651 0,936668986 0,93159486 0,93911007 0,936682809 0,941938179 0,938961039 0,942857143 0,9445845 0,942079689 0,942553191 0,944761905 0,946293118 0,942624855 0,94981685 0,945817246 0,946802721 0,946608947 0,951770217 0,950246305 0,951499118 0,95352381 0,951656315 0,955782313 0,952882206 0,950140056 0,954444444 0,958241758 0,955627706 0,951587302 0,954421769 0,951904762 0,955555556 0,964285714
19 0,768181818 0,833308787 0,882155388 0,868484383 0,901177394 0,906634564 0,916283525 0,912773109 0,917326449 0,924691358 0,922242315 0,917316017 0,920825397 0,931898239 0,930751174 0,934713596 0,933013504 0,935130581 0,929931973 0,937978142 0,934786118 0,940350877 0,937748918 0,941374663 0,943604108 0,940330418 0,94118541 0,943809524 0,945185759 0,941405343 0,949145299 0,944658945 0,945782313 0,944949495 0,95153982 0,949261084 0,950617284 0,953142857 0,950414079 0,954535147 0,952380952 0,94859944 0,951269841 0,956410256 0,954978355 0,95026455 0,952040816 0,951904762 0,956349206 0,964285714
21 0,761904762 0,829602356 0,878746867 0,866461854 0,899424385 0,904922418 0,915298303 0,910532213 0,915806081 0,923427396 0,920554551 0,915739023 0,919555556 0,930397913 0,929476861 0,933126294 0,931840796 0,934544522 0,929213908 0,936729118 0,934100081 0,939598997 0,936666667 0,940026954 0,942436975 0,938824101 0,939311044 0,942169312 0,943856929 0,940708479 0,948656899 0,943050193 0,944897959 0,943217893 0,949773443 0,948932677 0,950088183 0,950857143 0,950310559 0,952040816 0,951754386 0,946078431 0,950793651 0,955494505 0,954978355 0,95 0,95 0,948095238 0,954761905 0,964285714
23 0,756974507 0,825969563 0,876115288 0,863210445 0,897802198 0,902541466 0,912917351 0,909271709 0,913396443 0,922134039 0,919831224 0,914254793 0,918984127 0,928473581 0,927833669 0,931297447 0,930135039 0,933372404 0,927475435 0,935480094 0,932728006 0,938680033 0,936190476 0,93836478 0,94047619 0,938338192 0,939108409 0,941216931 0,94330325 0,940592334 0,947435897 0,941827542 0,943605442 0,942496392 0,949543046 0,947208539 0,949118166 0,949714286 0,948757764 0,95170068 0,95112782 0,945238095 0,94952381 0,954029304 0,953679654 0,94973545 0,948979592 0,945714286 0,955555556 0,964285714
25 0,751154401 0,822582229 0,873283208 0,860419867 0,895133438 0,901631889 0,910837438 0,907591036 0,912765347 0,920664315 0,918776371 0,913605442 0,916825397 0,927462492 0,92665996 0,930193237 0,928926795 0,9323468 0,925925926 0,934153005 0,93062954 0,93663325 0,935541126 0,937331536 0,939495798 0,937463557 0,938348531 0,94026455 0,941863684 0,938385598 0,945848596 0,940604891 0,94244898 0,941847042 0,94923585 0,946469622 0,947883598 0,948380952 0,94699793 0,950226757 0,950250627 0,944257703 0,95031746 0,952930403 0,952597403 0,947089947 0,948639456 0,944761905 0,955555556 0,95952381
