"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
1 0,814714196 0,861992492 0,897381886 0,888932816 0,910422429 0,915626559 0,929077289 0,922352499 0,922800891 0,934297324 0,931106391 0,928069725 0,932840562 0,939532837 0,938180941 0,941352249 0,939197232 0,941412187 0,938486481 0,943354679 0,942637693 0,946030309 0,944801988 0,949355655 0,947157312 0,948769525 0,94842218 0,950215625 0,952173076 0,946284426 0,953887654 0,950978888 0,951405459 0,94996277 0,957209733 0,951776563 0,955710666 0,95515837 0,955494806 0,95750122 0,960672911 0,95364342 0,954484018 0,958402107 0,959450282 0,953847029 0,955204229 0,950798817 0,962434496 0,958013558
3 0,810411007 0,861841569 0,899512662 0,889087218 0,914898565 0,916982695 0,930131068 0,925082683 0,927043979 0,936330154 0,934859846 0,931160414 0,933925554 0,942114287 0,943011682 0,943784953 0,941415841 0,943861202 0,941257917 0,946453222 0,946335617 0,949054858 0,947091086 0,952001476 0,950858192 0,950304225 0,952143664 0,951150356 0,954220937 0,948056743 0,956827625 0,952084856 0,955644154 0,95366518 0,957427537 0,959515476 0,959495552 0,959507613 0,959746975 0,962113308 0,963018218 0,956925217 0,958409925 0,964381085 0,962430201 0,9588607 0,960207372 0,953080202 0,962713212 0,961247394
5 0,810371785 0,861632407 0,89967196 0,889383707 0,916064236 0,917586446 0,930286954 0,925592346 0,929305612 0,935317342 0,934164158 0,930880662 0,934580282 0,942488418 0,942139953 0,944613568 0,943693073 0,944253169 0,941442268 0,947487095 0,946018832 0,949837268 0,94716142 0,951126633 0,951127545 0,949600254 0,949756884 0,952685963 0,953029355 0,949507055 0,957072147 0,952865891 0,956203537 0,954638625 0,958883424 0,958519371 0,959462273 0,960623518 0,961585269 0,964580459 0,962621793 0,956813852 0,958363693 0,963124016 0,963809966 0,959440614 0,96061217 0,951867038 0,959477838 0,954363925
7 0,804132336 0,857151882 0,898167784 0,886094061 0,914192163 0,91675348 0,928337248 0,924252847 0,927559468 0,933814097 0,932526937 0,928933365 0,932594181 0,942343352 0,940499289 0,94345035 0,9421413 0,944090827 0,939783436 0,946639158 0,945665284 0,949194707 0,945815615 0,949819848 0,951178783 0,94832684 0,949115641 0,950637846 0,952680754 0,949765268 0,95489702 0,951213458 0,953203669 0,953586109 0,959076523 0,956688774 0,957554927 0,959148226 0,960451198 0,962878462 0,961404422 0,95323063 0,958078112 0,96029919 0,960768473 0,958300752 0,96054687 0,953454856 0,960783282 0,958886283
9 0,796886985 0,851727219 0,894204427 0,882867379 0,911955552 0,914455272 0,926511394 0,923023098 0,925294692 0,932505832 0,929667893 0,926409284 0,930094742 0,941045402 0,938619401 0,941778833 0,940686096 0,942357091 0,939205301 0,945247709 0,943508942 0,946779558 0,944398682 0,949550312 0,94894248 0,94719548 0,947159931 0,950502825 0,951473499 0,94835391 0,954389652 0,949408753 0,951038299 0,953475145 0,95715224 0,95475311 0,955857096 0,957344675 0,957960794 0,961597768 0,958125208 0,954824226 0,956336015 0,958567278 0,95965084 0,957488055 0,957549461 0,952409981 0,95926465 0,959434528
11 0,788617317 0,847563205 0,891897464 0,880001607 0,908495017 0,913029132 0,924769438 0,92035573 0,923735155 0,930554179 0,927275813 0,92496592 0,927702853 0,937548552 0,93787829 0,940560461 0,938330712 0,941322744 0,93675343 0,943210725 0,941852076 0,945215068 0,942709455 0,946527452 0,947682014 0,946653914 0,945465634 0,947756649 0,949944387 0,946139858 0,952686778 0,947759578 0,948994856 0,949509909 0,955288906 0,954506779 0,954827192 0,95640413 0,956305298 0,958636319 0,957427895 0,952301754 0,95566878 0,960663829 0,957411243 0,955080296 0,95717786 0,954037582 0,959058193 0,959025172
13 0,783043952 0,841896115 0,888291914 0,87618335 0,906285014 0,910059196 0,92181963 0,917778182 0,922331202 0,929612813 0,925481126 0,922047134 0,926503876 0,935740564 0,936583242 0,937972557 0,936589319 0,938824698 0,934716829 0,941001646 0,940136415 0,944734274 0,941492536 0,944735082 0,945828367 0,944868229 0,943821376 0,946505223 0,948812109 0,944396866 0,950474 0,947973894 0,949357288 0,949284306 0,954092108 0,952322157 0,953611806 0,955780103 0,955334652 0,957903716 0,956030701 0,951134162 0,954886893 0,96088867 0,955705781 0,95409172 0,954337647 0,951952261 0,959082308 0,961464196
15 0,775018416 0,837854745 0,886468735 0,873507303 0,903424898 0,908221486 0,918979349 0,916799443 0,920795608 0,927165084 0,924500627 0,920439033 0,924093904 0,934461721 0,933468853 0,935924467 0,935388181 0,937223002 0,932669301 0,94023762 0,938013496 0,943285854 0,939614566 0,942920536 0,945122448 0,943309468 0,942535637 0,94553157 0,946494777 0,942732074 0,9500181 0,946856368 0,9483564 0,947151458 0,953144925 0,951062927 0,952975686 0,954912168 0,953365893 0,956459938 0,954754654 0,951070336 0,955856761 0,958029837 0,954643237 0,951172163 0,955999665 0,949640505 0,957376442 0,961464196
17 0,768735609 0,833904264 0,881683818 0,869872299 0,902012646 0,906545639 0,916514663 0,91418816 0,918620565 0,925681001 0,923262479 0,918274094 0,922232441 0,931977424 0,932253553 0,93478328 0,933933214 0,935929645 0,931027327 0,938770169 0,936212224 0,941587723 0,938330805 0,942439579 0,943969507 0,941643086 0,942158277 0,944313683 0,945933099 0,942108114 0,949611429 0,945509401 0,946597907 0,94642243 0,951635251 0,949991624 0,951193634 0,953063795 0,951237936 0,955296939 0,95233723 0,949399778 0,953769541 0,957838445 0,954896244 0,95086654 0,953776985 0,950605243 0,953911938 0,96390322
19 0,762562826 0,830023304 0,880369945 0,86633283 0,899875464 0,905483653 0,915369855 0,911604468 0,916496649 0,923938915 0,921401847 0,916546907 0,919893736 0,93113325 0,930036266 0,934046747 0,932335385 0,934290794 0,92932182 0,937631997 0,934324843 0,939997073 0,93714576 0,940927722 0,942991834 0,939860395 0,940780889 0,943358106 0,944807032 0,940878163 0,948907313 0,944364654 0,945552591 0,944749564 0,951448879 0,948956717 0,950297241 0,952657747 0,949971903 0,954004362 0,951851925 0,947899207 0,950579925 0,955916273 0,954224989 0,949487102 0,95126839 0,950687259 0,95493289 0,96390322
