"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
1 1,858589888 2,530043125 4,20868063 4,964411497 5,612501621 6,664096594 8,058180571 8,584260464 9,71119833 10,73783565 13,19888282 12,38376331 13,26848435 14,89883041 14,89490819 17,86542225 17,46473694 16,52027822 16,52808142 20,08373666 17,0578227 18,36382604 17,53683925 18,1211946 22,24241543 20,44657302 20,22890353 25,8188405 18,00225472 17,9188149 20,38301659 21,62874031 18,25602078 16,41541576 17,54774928 17,19462895 15,17036605 13,73909926 13,92173386 14,30960703 13,98845387 12,72856665 11,80547023 12,40725017 11,33498287 9,445556402 8,791922092 7,530560017 6,930637121 5,60710597
3 1,856920004 2,533038855 4,168217182 4,939501047 5,6895504 6,699610233 8,056790113 8,479263067 10,08663011 10,53478312 14,21225119 14,47457314 13,41224504 14,50098634 15,24753881 16,16409898 16,88773179 16,18206549 18,93072867 17,39715219 16,97035694 17,18664002 17,58053398 18,50280976 22,287359 22,71923876 18,53937292 19,97331452 17,98910308 17,94785881 20,92271781 20,84140348 17,46113205 16,41669798 16,7651298 17,79466891 15,31289935 13,75183415 13,83299446 14,66917276 13,71224594 12,71915483 11,84099579 12,27414227 10,84042025 9,723749638 8,786059618 7,397945881 6,907145739 5,53583312
5 1,859767199 2,533240795 4,168256998 4,928866863 5,667745829 6,704794645 8,045377493 8,469623804 9,80531764 10,36322308 12,94718266 14,06102085 14,88756084 15,35975599 14,72067523 16,42080784 16,37078857 16,13674808 19,88495851 20,13830233 16,99737716 17,52917767 17,50161672 18,66637015 19,63694167 21,24340653 19,77731252 23,34767532 18,03527069 17,91081953 20,48071027 21,79409957 17,86299443 16,53438139 16,68497181 17,2179749 15,1274538 13,78398752 13,83184719 14,65880394 13,98000646 12,82408667 12,25900769 11,73953557 10,82748246 9,494590521 8,802303553 7,585836887 6,846116304 5,549109697
7 1,859089851 2,548343182 4,175261974 4,921612024 5,65300107 6,687851191 8,094930172 8,574055672 9,989121675 10,68297529 12,79926205 13,45353889 14,55187178 18,026685 14,72141933 18,80894542 15,96976566 16,1412878 17,70671868 17,60132599 18,11801362 17,58975768 17,40517664 18,30952525 21,66436934 21,29282761 24,30666995 23,26831341 18,18371725 17,92737508 19,13448882 22,80680799 17,82261968 16,68854904 16,69481421 17,57021594 15,14369297 13,78089643 13,82319474 14,64127636 13,96673417 12,57080817 12,09987903 11,79696441 10,89533949 9,371250629 8,772769213 7,34079814 6,750107527 5,590952873
9 1,861374378 2,533278465 4,13293457 4,91421032 5,656005383 6,745087147 8,148104429 8,977337837 9,949042559 10,44744968 13,47137403 12,654073 13,89279675 14,70005369 20,96461272 17,82110214 16,55415964 17,73552489 18,15305948 18,69587326 18,7805202 17,25265932 18,06397223 18,38695717 22,15213084 18,90691614 24,14035583 20,3361702 18,27578282 17,90606594 22,04914117 20,87387371 17,93017459 17,29142785 16,92288136 16,40071797 15,05227065 13,82095551 13,79504967 14,8057096 14,21609974 12,4573617 11,9404757 11,69496155 11,44057989 9,374969959 8,79731369 7,323707104 6,729449749 5,538530111
11 1,859750032 2,536139727 4,119018555 4,932375431 5,650566578 6,699241638 8,300355434 9,179042578 9,942202091 10,28985047 13,23855805 13,3684938 13,69214177 16,0691967 17,28308702 17,73385644 15,74886966 18,0229969 16,85921478 17,57910585 17,23256159 17,18274164 17,80106926 18,42662501 21,20909953 20,84879184 26,23394942 21,6983583 17,99486852 17,92302036 18,62255311 20,20312238 17,67955995 16,8114903 17,21115184 15,94747615 15,29134107 13,82555151 13,81075501 14,10416436 13,73718977 12,44047618 11,96548057 11,89604592 11,02974391 9,260445595 8,770527601 7,301778555 6,799473047 5,540249109
13 1,86111474 2,533202171 4,079705238 4,927574396 5,674183846 6,685036659 8,185985804 8,756245136 10,08041239 10,46815753 12,79227471 12,76655936 14,78357244 16,93188477 19,02720618 19,39590311 19,14509153 17,84586477 19,37437534 16,62112832 17,20032477 17,19234514 17,43546391 20,77659822 21,10029888 18,95782351 20,84582686 19,44078422 18,24810076 20,70473099 19,74409866 21,40890384 17,05551434 16,84082747 18,05885983 15,93436146 15,54953718 13,81157422 13,82063341 13,82302332 13,86372352 12,45750475 12,34713817 11,8747344 11,23961234 9,296690226 8,804392338 7,314692974 6,817854643 5,576778889
15 1,864727497 2,535886526 4,101026058 4,935013533 5,679500103 6,942790747 8,148194313 8,643075466 9,668645144 10,31902146 12,93504906 13,81291747 13,75194263 15,50414062 19,46648216 20,08443379 16,98739123 17,04672599 18,74961805 17,08058739 17,19341993 17,20382071 19,64267182 19,61084843 18,09029031 19,70864773 21,40129828 20,90814686 17,97503233 18,64546084 18,16721201 19,86931443 17,57272434 17,32317829 17,37498879 15,90137506 15,2334013 13,77198792 13,821311 13,95738935 13,44900775 12,43758941 12,6627028 11,71547127 10,91632414 9,416437387 8,717844009 7,323415279 6,873939037 5,577791929
17 1,866851807 2,536040545 4,070580482 4,928521872 5,654280663 6,843453646 8,156799555 8,685943842 9,733801126 10,30868816 13,38007283 14,48992157 13,14642119 13,81262946 18,80802488 16,71163559 19,1910007 18,05500388 20,53602767 16,63562083 17,19635582 18,37335706 17,32867312 21,27995133 18,34932089 19,05126023 19,40622663 20,60439348 17,98098731 18,01795912 18,18856478 20,88510585 17,30028486 16,59461212 17,32676411 15,89501309 15,08437538 13,87515759 13,94404078 14,36226177 13,49455786 12,43639922 11,97307277 11,96450996 11,02106714 9,185851336 8,72010231 7,326854229 6,816030264 5,601763487
19 1,865426064 2,540678024 4,072085619 4,922977448 5,820369959 6,852065802 8,271354198 8,521155119 9,801098824 10,26991057 13,02471924 14,61182714 12,732517 13,77850223 19,97732687 15,30756021 19,45615673 17,16005445 18,78464246 16,60828733 17,23590732 17,59391594 17,32245755 22,2656014 18,43442822 18,72896934 19,49300766 22,04010153 18,02557898 17,98097634 18,47039819 18,88446784 17,21994925 16,8269031 17,29487062 15,91500926 15,08653378 13,80033731 13,80729699 14,10915089 13,48672557 13,36224365 11,96223497 11,38792706 10,68432856 9,379491806 8,717616796 7,311116695 6,743959188 5,64774847
