"Vecinos vs porcentaje" 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99
1 1,286932945 2,936618567 3,870027542 4,821176529 5,93738842 6,869852543 7,688270569 8,134599924 9,489237547 9,746758223 10,56853962 11,32018161 12,05457449 13,00335264 13,49989796 13,59246731 14,35350108 15,20806146 14,59180212 15,68239546 16,18763804 16,20422864 15,9130199 16,40502763 16,84363198 16,7223382 16,42655087 16,91151142 15,9291594 16,65346432 16,55250573 16,04218459 15,6241622 15,47972965 15,28163052 15,60491276 14,90526676 14,06937766 13,91561604 13,42052484 12,77930045 11,72178388 10,90811706 10,60669184 10,33266211 8,583026409 8,212085962 6,82151103 6,221773863 5,20081377
3 1,297872782 2,922386646 3,864343882 4,813943624 5,916733742 6,861306667 7,674461126 8,129985332 9,483231544 9,73426199 10,54225016 11,32015991 12,06717443 13,04788089 13,51538515 13,58471346 14,35478306 15,21930814 14,58578086 15,68892574 16,20969391 16,20565724 15,93678784 16,4045186 16,66607881 16,72352028 16,42205024 16,97425056 15,91223907 16,67862058 16,56414795 16,02435398 15,61663985 15,46402669 15,27927661 15,59923553 14,94675541 14,06920862 14,01595354 13,4256835 12,78986406 11,70587087 10,91918159 10,60093546 10,34487939 8,586794853 8,213484287 6,81311202 6,223298311 5,208337307
5 1,28746748 2,945738792 3,865187168 4,834146738 5,935340881 6,857998133 7,664972782 8,120364428 9,497180223 9,74673295 10,54056382 11,31043196 12,06676173 13,02701974 13,52485871 13,57324553 14,35446906 15,21183872 14,58646321 15,70666695 16,18746424 16,33032751 15,91804028 16,41299582 16,65058398 16,72302508 16,43150139 16,91541481 15,92858839 16,66609001 16,5679853 16,02226329 15,63738227 15,46508932 15,2695179 15,62452078 14,89803743 14,07425594 13,94816399 13,43050265 12,77546263 11,7251761 10,90960455 10,60282755 10,35082579 8,604187727 8,220340014 6,820818424 6,226816654 5,201233387
7 1,291301012 2,925549269 3,864520788 4,823241234 5,924724579 6,865534067 7,688362122 8,130426407 9,486635208 9,750736952 10,5368576 11,31171894 12,06165981 13,02509856 13,51811147 13,56908941 14,35087538 15,20788932 14,60951471 15,70006204 16,17292953 16,66834617 15,91252518 16,39733481 16,63727093 16,72533059 16,41058731 16,87953329 15,94706082 16,6588912 16,57240868 16,00887632 15,63626003 15,44457793 15,28091264 15,61553979 14,89854741 14,0745399 13,9235487 13,41269708 12,78535581 11,7287426 10,92532563 10,59053278 10,35438585 8,593862534 8,205859423 6,834277153 6,222020864 5,211417913
9 1,289775133 2,901744604 3,870863914 4,81895566 5,93312192 6,870075464 7,670168161 8,130393028 9,498756409 9,735899687 10,54509807 11,31518197 12,06964016 13,04175806 13,50990796 13,58468723 14,35763502 15,21662855 14,58908939 15,71082473 16,17280436 16,22227073 15,90463901 16,39118266 16,66582775 16,72039557 16,42370939 16,86531138 15,95439291 16,66363192 16,5552516 16,00241113 15,63949275 15,47035122 15,27505994 15,60823393 14,89211273 14,08890486 13,94639111 13,41863871 12,7860148 11,72290993 10,9274416 10,61488414 10,33778238 8,604159355 8,21776104 6,816254854 6,227245569 5,202491045
11 1,290176868 2,890240669 3,865888119 4,828153372 5,926850557 6,861979723 7,676756859 8,124200583 9,487944365 9,751503229 10,54331851 11,31712151 12,06117201 13,02669859 13,52968621 13,57796717 14,34301829 15,21358228 14,59485626 15,71166015 16,226336 16,22572398 15,92778778 16,45860839 16,65640497 16,72713017 16,42503977 16,87613177 15,92187023 16,65337753 16,6473372 16,00628781 15,62238526 15,45658946 15,26832485 15,60795975 14,90345788 14,07177782 13,92817521 13,40502095 12,80560875 11,7315557 10,91033864 10,61249256 10,33913159 8,588624954 8,217865229 6,817110062 6,241750956 5,200097799
13 1,294773102 2,910299301 3,871939659 4,822613001 5,925480127 6,863648176 7,68921113 8,11894846 9,495750666 9,738444567 10,55889201 11,32277942 12,07423186 13,01790428 13,51799297 13,5858562 14,35319376 15,21730471 14,60191226 15,71310115 16,17474771 16,20193005 15,91281629 16,40317774 16,63436985 16,73109412 16,42371297 16,88608456 15,93492484 16,6663847 16,57207489 16,02732921 15,62471604 15,44954515 15,28471208 15,61117339 14,90817285 14,07289457 13,93141484 13,4225738 12,79673147 11,72474098 10,9018507 10,60335588 10,35074711 8,598828793 8,218416691 6,818707466 6,22352314 5,202261448
15 1,285274982 2,910175085 3,870613337 4,839275599 5,934248209 6,866842985 7,673811913 8,12319231 9,482540369 9,761814117 10,547436 11,32607293 12,06553292 13,01567626 13,51737475 13,58579159 14,35698104 15,22334003 14,62528539 15,71535635 16,17139912 16,21204162 15,89991808 16,42270756 16,63493705 16,74581337 16,48707938 16,85078645 15,94114232 16,68982053 16,6872828 16,03808713 15,6332972 15,43972993 15,28711724 15,61840653 14,88970923 14,0760057 13,93664932 13,40113544 12,79133821 11,71456552 10,9134326 10,61394215 10,34806871 8,598905563 8,22100544 6,811671734 6,221973896 5,209208012
17 1,295492649 2,902145386 3,873038292 4,832644939 5,93033886 6,87174964 7,680273771 8,136195421 9,479068279 9,744026661 10,54135108 11,3421092 12,08104444 13,01836896 13,54351616 13,67586708 14,34320283 15,20629287 14,610883 15,70647097 16,19692183 16,20772362 15,91398048 16,4044857 16,65522885 16,7232182 16,42412972 16,86155248 15,9217329 16,67334509 16,57424831 16,01277757 15,62034774 15,45648026 15,27713776 15,61441422 14,88132119 14,07804227 13,9341886 13,42803931 12,81375504 11,72758365 10,92863274 10,62813854 10,34685135 8,614151716 8,209687948 6,82940793 6,225457668 5,20055747
19 1,290560961 2,897328377 3,867889166 4,830801487 5,933408022 6,870057583 7,686321497 8,123532772 9,504780531 9,748638153 10,5419836 11,31000566 12,06220841 13,03716373 13,53715372 13,61899257 14,36465907 15,27082443 14,64750719 15,68726778 16,18681264 16,19127083 15,92718673 16,40749454 16,63123107 16,71153641 16,54264832 16,84808969 15,93220639 16,68858075 16,57146621 16,02185798 15,63113761 15,471627 15,2697587 15,62339401 14,90475607 14,08242702 13,93336034 13,41368151 12,79641771 11,74569702 10,93411469 10,60446358 10,34032226 8,603290081 8,21037817 6,823612452 6,233301878 5,203521967
